doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
hanu-tuition-2025-2026,data\hocbong_hocphi\hanu-tuition-2025-2026.md,Mức thu học phí năm học 2025-2026 các chương trình đào tạo,https://www.hanu.vn/a/190952/Muc-thu-hoc-phi-nam-hoc-2025-2026-cac-chuong-trinh-dao-tao-doi-voi-cac-khoa-tuyen-sinh-nam-hoc-2022-2023-2023-2024-va-2024-2025-cua-Truong-Dai-hoc-Ha-Noi,2026-09-19,2025-2026,public-source
hust-tuition-2024-2025,data\hocbong_hocphi\hust-tuition-2024-2025.md,Thông báo về mức học phí đối với các chương trình đào tạo năm học 2024-2025,https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=43466,2026-09-19,2024-2025,public-source
neu-tuition-decision-985-2026-2027,data\hocbong_hocphi\neu-tuition-decision-985-2026-2027.md,Học phí NEU năm học 2026-2027 theo Quyết định 985,https://fit.neu.edu.vn/post/hoc-phi-neu-nam-hoc-2026-2027-theo-quyet-dinh-985,2026-09-19,2026-2027,public-source
neu-tuition-fees-2025-2026,data\hocbong_hocphi\neu-tuition-fees-2025-2026.md,Học phí NEU năm học 2025-2026,https://fit.neu.edu.vn/post/neu-tuition-fees-2025-2026,2026-09-19,2025-2026,public-source
uet-tuition-2024-2025,data\hocbong_hocphi\uet-tuition-2024-2025.md,Quy định định mức học phí đào tạo đại học năm học 2024-2025,https://uet.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,2026-09-19,2024-2025,public-source
uet-tuition-payment-extension-2025-2026,data\hocbong_hocphi\uet-tuition-payment-extension-2025-2026.md,Gia hạn thời gian nộp học phí trong học kỳ II năm học 2025-2026,https://uet.vnu.edu.vn/gia-han-thoi-gian-nop-hoc-phi-trong-hkii-nam-hoc-2025-2026/,2026-09-19,2025-2026,public-source
uet-tuition-refund-2026-03,data\hocbong_hocphi\uet-tuition-refund-2026-03.md,Hoàn trả học phí cho sinh viên chương trình chất lượng cao tốt nghiệp đợt xét tháng 03 năm 2026,https://uet.vnu.edu.vn/hoan-tra-hoc-phi-cho-sinh-vien-thuoc-chuong-trinh-chat-luong-cao-theo-thong-tu-23-2014-tt-bgddt-tot-nghiep-dot-xet-thang-03-nam-2026/,2026-09-19,2026-03,public-source
usth-tuition-2026-2027,data\hocbong_hocphi\usth-tuition-2026-2027.md,Thông báo quy định mức học phí chính thức áp dụng cho năm học 2026-2027,https://usth.edu.vn/thong-bao-quy-dinh-muc-hoc-phi-chinh-thuc-ap-dung-cho-nam-hoc-2026-2027-33107/,2026-09-19,2026-2027,public-source
usth-tuition-semester-2-2025-2026,data\hocbong_hocphi\usth-tuition-semester-2-2025-2026.md,Thông báo thu học phí học kỳ II năm học 2025-2026 hệ đại học,https://usth.edu.vn/tb-ve-viec-thu-hoc-phi-hoc-ky-ii-nam-hoc-2025-2026-chuong-trinh-dao-tao-trinh-do-dai-hoc-29249/,2026-09-19,2025-2026,public-source
